standard,hiqa_id,element,applies_to,conformance,cardinality,hiqa_datatype,profile,path,ms,status,notes,lm_path
EP,3.5.7.1,Quantity prescribed,P,Required,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.extension:prescribedQuantity,Y,Aligned,IHE prescribedQuantity,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.quantityOfPrescriptionItemPrescribed.quantityPrescribed
EP,3.5.7.2,Quantity prescribed (free text),,Required,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.extension:quantityInWordsAndFigures,Y,Aligned,required for any controlled drug listed in the Misuse of Drugs Regulations 2017 (ie-rx-cd-1),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.quantityOfPrescriptionItemPrescribed.quantityPrescribed2
EP,3.5.8,Dosage instructions,P,Mandatory,1..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction,Y,Aligned,text 1..1; structured implies text (ie-rx-dosage-1),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.dosageInstructions
EP,3.5.9,Validity period (cluster),P,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.validityPeriod,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.validityPeriod
EP,3.5.9.1,Validity period,P,Required,0..1,Period,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.validityPeriod,Y,Aligned,"Schedule 2/3: 14 days, or two months for instalment prescriptions (final instalment) (ie-rx-cd-2); first instalment within 14 days is a dispensing check (OI-027)",HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.validityPeriod.validityPeriod
EP,3.5.9.2,“Do Not Extend”,,Optional,0..1,Boolean,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.extension:doNotExtend,N,Aligned,Optional,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.validityPeriod.doNotExtend
EP,3.5.10,Substitutions (cluster),P,Optional,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.substitution,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.substitutions
EP,3.5.10.1,Medicinal Product is interchangeable,P,Required,0..1,Boolean,IECoreMedicationEPrescription,Medication.extension:interchangeable,Y,Aligned,HPRA List of Interchangeable Medicines flag (auto from NMPC),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.substitutions.medicinalProductIsInterchangeable
EP,3.5.10.2,“Do Not Substitute”,P,Optional,0..1,Boolean,IECoreMedicationRequestEPrescription,MedicationRequest.substitution.allowed[x],Y,Aligned,'Do Not Substitute' = allowedBoolean false,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.substitutions.doNotSubstitute
EP,3.5.10.3,Reason for not allowing substitution,,Required,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.substitution.reason,Y,Aligned,required when Do Not Substitute (ie-rx-subst-1),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.substitutions.reasonForNotAllowingSubstitution
EP,3.5.11,Repeats of prescription item allowed,P,Optional,0..1,Numerical,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.repeatsOfPrescriptionItemAllowed
EP,3.5.12,Number of instalments,P,Required,0..1,Numerical,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.extension:numberOfInstalments,Y,Aligned,required for Schedule 2/3/4 Part 1 (ie-rx-cd-3),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.numberOfInstalments
EP,3.5.13,Minimum dispense interval,P,Required,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.dispenseInterval,Y,Aligned,instalment interval required for Schedule 2/3/4 Part 1 instalment prescriptions (ie-rx-cd-3),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.minimumDispenseInterval
EP,3.5.14,Off label (cluster),,Required,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,Y,Aligned,IHE ihe-ext-offLabel via HL7 Europe MPD (replaces IECoreOffLabelUse),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.offLabel
EP,3.5.14.1,Off label use in prescription,P,Mandatory,1..1,Boolean,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,N,Aligned,Mandatory within the cluster: isOffLabelUse 1..1,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.offLabel.offLabelUseInPrescription
EP,3.5.14.2,Reason for off label use (cluster),P,Required,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,N,Aligned,reason sub-extension,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.offLabel.reasonForOffLabelUse
EP,3.5.14.2.1,Reason for off label use,P,Required,0..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,N,Aligned,reason (coded),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.offLabel.reasonForOffLabelUse.reasonForOffLabelUse
EP,3.5.14.2.2,Reason for off label use (free text),P,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,N,Aligned,reason text,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.offLabel.reasonForOffLabelUse.reasonForOffLabelUse2
EP,3.6.1,Note,P,Optional,0..*,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.note,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.notes.note
EP,4.1,Medication item identifier,PD,Required,0..*,Alpha-numeric,IECoreMedicationEPrescription,Medication.code,Y,Aligned,NMPC code,HIQAEPrescriptionLM.medication.medicationItemIdentifier
EP,4.2,Classification (cluster),PD,Required,0..*,Coded value,IECoreMedicationEPrescription,Medication.extension:classification,Y,Aligned,IHE classification (EU Base slice),HIQAEPrescriptionLM.medication.classification
EP,4.2.1,Anatomical Therapeutic Chemical (ATC) Classification,PD,Required,0..*,Coded value,IECoreMedicationEPrescription,Medication.extension:classification,Y,Aligned,ATC coding,HIQAEPrescriptionLM.medication.classification.anatomicalTherapeuticChemicalAtcClassification
EP,4.2.2,Supply Legal Status,PD,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.extension:classification,Y,Partial,supply legal status: placeholder code system (OI-007),HIQAEPrescriptionLM.medication.classification.supplyLegalStatus
EP,4.2.3,Misuse of Drugs Act (MDA) Schedule,PD,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.extension:classification,Y,Partial,MDA schedule: placeholder code system (OI-007); drives ie-rx-cd-1/2,HIQAEPrescriptionLM.medication.classification.misuseOfDrugsActMdaSchedule
EP,4.2.4,Other classification group,PD,Optional,0..*,Free text,IECoreMedicationEPrescription,Medication.extension:classification,N,Aligned,Optional,HIQAEPrescriptionLM.medication.classification.otherClassificationGroup
EP,4.3,Medication product name (cluster),P,Required,0..1,,IECoreMedicationEPrescription,Medication.code,Y,Aligned,code.text / productName,HIQAEPrescriptionLM.medication.medicationProductName
EP,4.3.1,Medication product name (coded),P,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.code,Y,Aligned,,HIQAEPrescriptionLM.medication.medicationProductName.medicationProductName
EP,4.3.2,Medication product name (free text),P,Optional,0..1,Free text,IECoreMedicationEPrescription,Medication.code.text,N,Aligned,,HIQAEPrescriptionLM.medication.medicationProductName.medicationProductName2
EP,4.4,Manufacturer/ Marketing authorisation holder (cluster),D,Optional,0..1,,IECoreMedicationEPrescription,Medication.manufacturer,N,Aligned,,HIQAEPrescriptionLM.medication.manufacturerMarketingAuthorisationHolder
EP,4.4.1,Manufacturer/ Marketing authorisation holder name,D,Optional,0..1,Coded value,IECoreMedicationEPrescription,Medication.manufacturer.display,N,Aligned,,HIQAEPrescriptionLM.medication.manufacturerMarketingAuthorisationHolder.manufacturerMarketingAuthorisationHolderName
EP,4.4.2,Manufacturer/ Marketing authorisation holder identifier,D,Optional,0..*,Alpha-numeric,IECoreMedicationEPrescription,Medication.manufacturer.identifier,N,Aligned,,HIQAEPrescriptionLM.medication.manufacturerMarketingAuthorisationHolder.manufacturerMarketingAuthorisationHolderIdentifi
EP,4.5,Dose form (type),D,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.form,Y,Partial,EDQM binding pending (Phase 7),HIQAEPrescriptionLM.medication.doseFormType
EP,4.6,Description of medicinal product,PD,Optional,0..1,Free text,IECoreMedicationEPrescription,,N,Gap,no R4 element; code.text carries the description (Optional),HIQAEPrescriptionLM.medication.descriptionOfMedicinalProduct
EP,4.7,Medication item (cluster),PD,Required,0..*,,IECoreMedicationEPrescription,Medication.ingredient,Y,Aligned,,HIQAEPrescriptionLM.medication.medicationItem
EP,4.7.1,Medication item Dose form,PD,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.form,Y,Partial,R4 has no item-level dose form; EDQM binding pending (Phase 7),HIQAEPrescriptionLM.medication.medicationItem.medicationItemDoseForm
EP,4.7.2,Ingredient in medication item (cluster),PD,Mandatory,1..*,,IECoreMedicationEPrescription,Medication.ingredient,Y,Aligned,ingredient 1..*,HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem
EP,4.7.2.1,Ingredient is active,PD,Required,0..1,Boolean,IECoreMedicationEPrescription,Medication.ingredient.isActive,Y,Aligned,,HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem.ingredientIsActive
EP,4.7.2.2,Active ingredient/ Substance,PD,Mandatory,1..1,Coded value,IECoreMedicationEPrescription,Medication.ingredient.item[x],Y,Aligned,,HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem.activeIngredientSubstance
EP,4.7.2.3,Strength information (cluster),PD,Required,0..*,,IECoreMedicationEPrescription,Medication.ingredient.strength,Y,Aligned,,HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem.strengthInformation
EP,4.7.2.3.1,Strength,PD,Mandatory,1..1,Ratio,IECoreMedicationEPrescription,Medication.ingredient.strength,Y,Aligned,Mandatory within the strength cluster (4.7.2.3 = ingredient.strength 0..1),HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem.strengthInformation.strength
EP,4.7.2.3.2,Basis of strength substance,PD,Required,0..1,Coded value,IECoreMedicationEPrescription,Medication.ingredient.strength,N,Aligned,IHE strengthsubstance extension on strength,HIQAEPrescriptionLM.medication.medicationItem.ingredientInMedicationItem.strengthInformation.basisOfStrengthSubstance
EP,4.7.3,Unit of presentation,D,Optional,0..1,Coded value,IECoreMedicationEPrescription,Medication.extension:unitOfPresentation,N,Aligned,IHE (EU Base slice),HIQAEPrescriptionLM.medication.medicationItem.unitOfPresentation
EP,4.7.4,Contained quantity,D,Optional,0..1,Ratio,IECoreMedicationEPrescription,Medication.extension:sizeOfItem,N,Aligned,IHE sizeOfItem (EU Base slice),HIQAEPrescriptionLM.medication.medicationItem.containedQuantity
EP,4.7.5,Pack size or Amount,PD,Optional,0..1,Quantity,IECoreMedicationEPrescription,Medication.amount,Y,Aligned,,HIQAEPrescriptionLM.medication.medicationItem.packSizeOrAmount
EP,4.7.6,Package type,D,Optional,0..1,Coded value,IECoreMedicationEPrescription,Medication.extension:packageType,N,Aligned,EU medication-package-type (EU Base slice),HIQAEPrescriptionLM.medication.medicationItem.packageType
EP,4.8,Device (cluster),D,Optional,0..*,,IECoreMedicationEPrescription,Medication.extension:device,N,Aligned,IHE device (EU Base slice),HIQAEPrescriptionLM.medication.device
EP,4.8.1,Device type,D,Mandatory,1..1,Coded value,IECoreMedicationEPrescription,Medication.extension:device,N,Aligned,Mandatory within the device cluster,HIQAEPrescriptionLM.medication.device.deviceType
EP,4.8.2,Device quantity value,D,Mandatory,1..1,Numeric,IECoreMedicationEPrescription,Medication.extension:device,N,Aligned,Mandatory within the device cluster,HIQAEPrescriptionLM.medication.device.deviceQuantityValue
EP,4.9,Characteristics (cluster),D,Optional,0..*,,IECoreMedicationEPrescription,Medication.extension:characteristic,N,Aligned,IHE characteristic (EU Base slice),HIQAEPrescriptionLM.medication.characteristics
EP,4.9.1,Characteristic type,D,Mandatory,1..1,Coded value,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicType
EP,4.9.2,Characteristic value (cluster),D,Optional,0..1,,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue
EP,4.9.2.1,Characteristic value (coded),D,Optional,0..1,Coded value,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValue
EP,4.9.2.2,Characteristic value (quantity),D,Optional,0..1,Quantity,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValueQuantity
EP,4.9.2.3,Characteristic value (datetime),D,Optional,0..1,DateTime,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValueDatetime
EP,4.9.2.4,Characteristic value (integer),D,Optional,0..1,Integer,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValueInteger
EP,4.9.2.5,Characteristic value (decimal),D,Optional,0..1,Decimal,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValueDecimal
EP,4.9.2.6,Characteristic value (ratio),D,Optional,0..1,Ratio,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValueRatio
EP,4.9.2.7,Characteristic value (free text),D,Optional,0..1,Free text,IECoreMedicationEPrescription,,N,Gap,,HIQAEPrescriptionLM.medication.characteristics.characteristicValue.characteristicValue2
EP,4.10,Batch (cluster),D,Required,0..1,,IECoreMedicationEPrescription,Medication.batch,Y,Aligned,,HIQAEPrescriptionLM.medication.batch
EP,4.10.1,Batch Lot number,D,Required,0..1,Alpha-numeric,IECoreMedicationEPrescription,Medication.batch.lotNumber,Y,Aligned,,HIQAEPrescriptionLM.medication.batch.batchLotNumber
EP,4.10.2,Batch expiration date,D,Required,0..1,Date,IECoreMedicationEPrescription,Medication.batch.expirationDate,Y,Aligned,,HIQAEPrescriptionLM.medication.batch.batchExpirationDate
EP,4.11,Exempt medication item,PD,Required,0..1,Boolean,IECoreMedicationEPrescription,Medication.extension:exemptMedicationItem,Y,Partial,meaning Requires Clarification,HIQAEPrescriptionLM.medication.exemptMedicationItem
EP,5.1,Rendered dosage instruction,PD,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.text,Y,Aligned,IG 1..1 (stricter; safety fallback),HIQAEPrescriptionLM.dosaging.renderedDosageInstruction
EP,5.2,Dosage details (cluster),PD,Required,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction,Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails
EP,5.2.1,Sequence (if more than one dosaging scheme exists),PD,Optional,0..1,Integer,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.sequence,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.sequenceIfMoreThanOneDosagingSchemeExists
EP,5.2.2,Note for patient,PD,Required,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.patientInstruction,Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.noteForPatient
EP,5.2.3,Dose and rate (cluster),,Required,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate,Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate
EP,5.2.3.1,Dose of medication item (cluster),PD,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.dose[x],Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.doseOfMedicationItem
EP,5.2.3.1.1,Dose of medication item - quantity,PD,Required,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.dose[x],Y,Aligned,doseQuantity,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.doseOfMedicationItem.doseOfMedicationItemQuantity
EP,5.2.3.1.2,Dose of medication item - range,PD,Required,0..1,Range,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.dose[x],Y,Aligned,doseRange,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.doseOfMedicationItem.doseOfMedicationItemRange
EP,5.2.3.2,Rate of administration (cluster),PD,Optional,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rate[x],N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.rateOfAdministration
EP,5.2.3.2.1,Rate of administration - quantity,PD,Optional,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rateQuantity,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.rateOfAdministration.rateOfAdministrationQuantity
EP,5.2.3.2.2,Rate of administration - ratio,PD,Optional,0..1,Ratio,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rateRatio,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.doseAndRate.rateOfAdministration.rateOfAdministrationRatio
EP,5.2.4,Repeat administration of medication item (cluster),PD,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing,Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem
EP,5.2.4.1,Time bounds (cluster),PD,Optional,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.bounds[x],N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.timeBounds
EP,5.2.4.1.1,Time bounds - quantity,PD,Optional,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.boundsDuration,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.timeBounds.timeBoundsQuantity
EP,5.2.4.1.2,Time bounds - period,PD,Optional,0..1,Period,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.boundsPeriod,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.timeBounds.timeBoundsPeriod
EP,5.2.4.2,Duration of administration,PD,Optional,0..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.duration,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.durationOfAdministration
EP,5.2.4.3,Frequency (cluster),PD,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.frequency,Y,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.frequency
EP,5.2.4.3.1,Frequency of administration,PD,Mandatory,1..1,Integer,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.frequency,Y,Aligned,Mandatory within the frequency cluster (MS),HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.frequency.frequencyOfAdministration
EP,5.2.4.3.2,Period,PD,Mandatory,1..1,Quantity,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.period,Y,Aligned,Mandatory within the frequency cluster (MS; with periodUnit),HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.frequency.period
EP,5.2.4.4,Day of the week,,Optional,0..*,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.dayOfWeek,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.dayOfTheWeek
EP,5.2.4.5,Time of the day,PD,Optional,0..*,Time,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.timeOfDay,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.timeOfTheDay
EP,5.2.4.6,Event or time period for administration,PD,Optional,0..*,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.when,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.repeatAdministrationOfMedicationItem.eventOrTimePeriodForAdministration
EP,5.2.5,Administer as needed,PD,Optional,0..1,Boolean,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.asNeeded[x],N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.administerAsNeeded
EP,5.2.6,Body site or structure (cluster),PD,Optional,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure
EP,5.2.6.1,Morphology,PD,Optional,0..1,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,post-coordinated in site (SNOMED CT) or a body-structure extension,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure.morphology
EP,5.2.6.2,Body site location,PD,Optional,0..1,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure.bodySiteLocation
EP,5.2.6.3,Body site location qualifier,PD,Optional,0..*,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure.bodySiteLocationQualifier
EP,5.2.6.4,Laterality,PD,Optional,0..1,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure.laterality
EP,5.2.6.5,Description (free text),PD,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site.text,N,Aligned,,HIQAEPrescriptionLM.dosaging.dosageDetails.bodySiteOrStructure.description
EP,5.2.7,Route of administration,PD,Required,0..1,Coded values,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.route,Y,Partial,EDQM route binding pending (Phase 7),HIQAEPrescriptionLM.dosaging.dosageDetails.routeOfAdministration
EP,6.1,Dispensation identifier,D,Required,0..*,Alpha-numeric,IECoreMedicationDispenseEDispensation,MedicationDispense.identifier,Y,Aligned,IG 1..* (stricter than HIQA 0..*),HIQAEPrescriptionLM.medicationDispense.dispensationIdentifier
EP,6.2,Date and time of issuing the dispense record,D,Mandatory,1..1,Datetime,IECoreMedicationDispenseEDispensation,MedicationDispense.extension:recorded,Y,Aligned,HL7 Europe MPD recorded 1..1 (R5 backport),HIQAEPrescriptionLM.medicationDispense.dateAndTimeOfIssuingTheDispenseRecord
EP,6.3,Status (cluster),D,Mandatory,1..*,,IECoreMedicationDispenseEDispensation,MedicationDispense.status,Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.status
EP,6.3.1,Dispensation Status,D,Mandatory,1..1,Coded value,IECoreMedicationDispenseEDispensation,MedicationDispense.status,Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.status.dispensationStatus
EP,6.3.2,Dispensation Status Reason (cluster),D,Optional,0..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReason[x],Y,Aligned,required for a non-dispensation (ie-md-status-1),HIQAEPrescriptionLM.medicationDispense.status.dispensationStatusReason
EP,6.3.2.1,Status reason,D,Optional,0..1,Coded value,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReason[x],Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.status.dispensationStatusReason.statusReason
EP,6.3.2.2,Status reason (free text),D,Optional,0..1,Free text,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReason[x],N,Aligned,statusReasonCodeableConcept.text,HIQAEPrescriptionLM.medicationDispense.status.dispensationStatusReason.statusReason2
EP,6.4,Receiver of the medication item (cluster),D,Optional,0..*,,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem
EP,6.4.1,Patient is the receiver,D,Optional,0..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,Reference(Patient),HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.patientIsTheReceiver
EP,6.4.2,Health practitioner is the receiver,D,Optional,0..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,Reference(Practitioner),HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.healthPractitionerIsTheReceiver
EP,6.4.3,Related person is the receiver (cluster),D,Optional,0..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.extension:receiverRelatedPerson,N,Aligned,IE extension → IECoreRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver
EP,6.4.3.1,Name title,D,Optional,0..*,Coded value,IECoreRelatedPerson,RelatedPerson.name.prefix,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.nameTitle
EP,6.4.3.2,Forename of receiver,D,Optional,0..1,Free text,IECoreRelatedPerson,RelatedPerson.name.given,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.forenameOfReceiver
EP,6.4.3.3,Surname of receiver,D,Optional,0..1,Free text,IECoreRelatedPerson,RelatedPerson.name.family,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.surnameOfReceiver
EP,6.4.3.4,Name suffix,D,Optional,0..*,Coded value,IECoreRelatedPerson,RelatedPerson.name.suffix,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.nameSuffix
EP,6.4.3.5,Receiver (related person) personal identifier (cluster),D,Optional,0..*,,IECoreRelatedPerson,RelatedPerson.identifier,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.receiverRelatedPersonPersonalIdentifier
EP,6.4.3.5.1,Receiver personal identifier - type,D,Optional,0..1,Coded value,IECoreRelatedPerson,RelatedPerson.identifier.type,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.receiverRelatedPersonPersonalIdentifier.receiverPersonalIdentifierType
EP,6.4.3.5.2,Receiver personal identifier - value,D,Optional,0..1,Alpha-numeric,IECoreRelatedPerson,RelatedPerson.identifier.value,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.receiverRelatedPersonPersonalIdentifier.receiverPersonalIdentifierValue
EP,6.4.3.5.3,Receiver personal identifier - time period,D,Optional,0..1,Period,IECoreRelatedPerson,RelatedPerson.identifier.period,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.receiverRelatedPersonPersonalIdentifier.receiverPersonalIdentifierTimePeriod
